,PC1,PC2,PC3,PC4,PC5,PC6
AngularSecondMoment_Actin_10,-0.23218457855302213,0.2712629450276681,-0.037037401929632396,0.1040855979275791,0.3650110004031991,-0.3431890923912022
AngularSecondMoment_aSMA_10,-0.28892218728161356,-0.2555067394914689,0.0034469859541506696,0.01638231651404971,0.10462863387043748,-0.16389402638206374
Correlation_aSMA_10,-0.11696122764522651,0.41217279164124376,0.010473339594766052,0.01938512032925904,-0.3169599946149434,-0.42531851876031707
InfoMeas1_Actin_2,0.20267315389496038,-0.08133103255758012,-0.3141466090865046,0.42498803425885856,-0.128859278745623,-0.1887560610454531
InfoMeas1_Actin_6,0.03807522950783547,0.053429503275871704,-0.4282868404845216,0.49978951888453865,0.06317810017159847,-0.08805266394008204
InfoMeas2_aSMA_10,0.022650230495087832,-0.44863589087709077,0.05652046760339143,0.08718012939468144,-0.11389233237820073,-0.5007874759639311
InverseDifferenceMoment_Actin_10,-0.2917923362995328,0.06719329835934358,-0.2456046566803835,0.27632676328090794,-0.10301527710201751,0.07295272774754512
InverseDifferenceMoment_aSMA_10,-0.32581353470820806,-0.012551997705572965,0.16487384061102214,0.018178251360988783,-0.21349888578329249,-0.20797689597541102
SumAverage_aSMA_10,0.0022134810498342125,0.5022768507625985,0.025950459396271237,0.01784542780907325,-0.18576958008588823,0.1052869948724284
SumEntropy_Actin_6,0.02652932134456116,-0.19037715438908304,-0.02584798027278094,-0.04041064437365867,-0.7763048321118566,0.11331456264530528
Intensity_IntegratedIntensity_Actin,0.3019788352768625,0.02416994507869327,0.3093629287811549,-0.0846120154907987,0.039997276892945174,-0.3086790837029971
Intensity_IntegratedIntensity_Collagen,0.3692804980697389,-0.03215118394589414,-0.009725482801430634,0.03761585472091487,0.03916735943318895,-0.08209645519234327
Intensity_IntegratedIntensity_aSMA,0.3476613054284491,0.1092759030126385,0.13194454205394815,0.0741721367740561,-0.004491834894632001,-0.1345550098692644
Intensity_LowerQuartileIntensity_Collagen,0.1204318311242854,0.022265763713452204,-0.48770393477089363,-0.38913271142770955,0.055518758628726905,0.0388953224656521
Intensity_MeanIntensity_Collagen,0.2451619018313851,-0.08424922556206571,-0.4270551547700904,-0.20499568163118348,-0.005818367442458349,-0.030082561040181897
Intensity_MeanIntensity_aSMA,0.22627297594678716,0.3966646405963428,0.027159055796855305,0.03245471953833434,-0.12926198401146027,-0.004307351783971869
Intensity_MinIntensity_Collagen,-0.1099100397187236,0.08468399894602793,-0.2700471394859059,-0.5053870874711324,-0.05142085057621254,-0.4116845499349916
AreaShape_Area,0.35717463614751166,-0.040468391514062695,0.1313169304560711,0.08880475296486666,0.05302913366241862,-0.1254739784652843
