Metadata_Well,TG,AngularSecondMoment_Actin_2,AngularSecondMoment_Actin_6,AngularSecondMoment_Actin_10,Intensity_IntegratedIntensityEdge_Actin,Intensity_IntegratedIntensityEdge_Actin_new_intensity,Intensity_IntegratedIntensityEdge_Collagen,Intensity_IntegratedIntensityEdge_aSMA,Intensity_IntegratedIntensity_Actin,Intensity_IntegratedIntensity_Actin_new_intensity,Intensity_IntegratedIntensity_Collagen,Intensity_IntegratedIntensity_aSMA,Intensity_LowerQuartileIntensity_Actin,Intensity_LowerQuartileIntensity_Actin_new_intensity,Intensity_LowerQuartileIntensity_Collagen,Intensity_LowerQuartileIntensity_aSMA,Intensity_MADIntensity_Actin,Intensity_MADIntensity_Actin_new_intensity,Intensity_MADIntensity_Collagen,Intensity_MADIntensity_aSMA,Intensity_MassDisplacement_Actin,Intensity_MassDisplacement_Actin_new_intensity,Intensity_MassDisplacement_Collagen,Intensity_MassDisplacement_aSMA,Intensity_MaxIntensityEdge_Actin,Intensity_MaxIntensityEdge_Actin_new_intensity,Intensity_MaxIntensityEdge_Collagen,Intensity_MaxIntensityEdge_aSMA,Intensity_MaxIntensity_Actin,Intensity_MaxIntensity_Actin_new_intensity,Intensity_MaxIntensity_Collagen,Intensity_MaxIntensity_aSMA,Intensity_MeanIntensityEdge_Actin,Intensity_MeanIntensityEdge_Actin_new_intensity,Intensity_MeanIntensityEdge_Collagen,Intensity_MeanIntensityEdge_aSMA,Intensity_MeanIntensity_Actin,Intensity_MeanIntensity_Actin_new_intensity,Intensity_MeanIntensity_Collagen,Intensity_MeanIntensity_aSMA,Intensity_MedianIntensity_Actin,Intensity_MedianIntensity_Actin_new_intensity,Intensity_MedianIntensity_Collagen,Intensity_MedianIntensity_aSMA,Intensity_MinIntensityEdge_Actin,Intensity_MinIntensityEdge_Actin_new_intensity,Intensity_MinIntensityEdge_Collagen,Intensity_MinIntensityEdge_aSMA,Intensity_MinIntensity_Actin,Intensity_MinIntensity_Actin_new_intensity,Intensity_MinIntensity_Collagen,Intensity_MinIntensity_aSMA,Intensity_StdIntensityEdge_Actin,Intensity_StdIntensityEdge_Actin_new_intensity,Intensity_StdIntensityEdge_Collagen,Intensity_StdIntensityEdge_aSMA,Intensity_StdIntensity_Actin,Intensity_StdIntensity_Actin_new_intensity,Intensity_StdIntensity_Collagen,Intensity_StdIntensity_aSMA,Intensity_UpperQuartileIntensity_Actin,Intensity_UpperQuartileIntensity_Actin_new_intensity,Intensity_UpperQuartileIntensity_Collagen,Intensity_UpperQuartileIntensity_aSMA
B02,Glut,0.0156161158895427,0.0222018148043195,0.0346100771994319,2.9610284864902496,7.402571139857173,15.40546278283,11.335378056392074,16.17981248162687,40.44953081011772,148.61373315751553,81.63364640623331,0.0102845812216401,0.0257114525884389,0.0513618662953376,0.0410925447940826,0.0005188062787055,0.0012970156967639,0.0155565701425075,0.0089265294373035,0.2306217354798179,0.2306217346243386,1.875415155892685,0.9214827838179068,0.0131837949156761,0.0329594872891902,0.1658808290958404,0.0930342599749565,0.0148775465786457,0.0371938645839691,0.4025329947471618,0.1645685583353042,0.0107211187362987,0.0268027966485378,0.0597165166832429,0.0430802691405938,0.0108349395791109,0.0270873486931868,0.0968792475156348,0.0527643467668288,0.0107423514127731,0.0268558785319328,0.0651865415275096,0.050659954547882,0.008651865646243,0.0216296631842851,0.0426489673554897,0.0270084682852029,0.0081635769456624,0.0204089414328336,0.0423590466380119,0.0269016548991203,0.0006581965634527,0.0016454914491883,0.021452812924028,0.0116716770945728,0.0008466096958368,0.0021165241515211,0.0620445856869614,0.0151207963448247,0.0112916762009263,0.0282291900366544,0.1183794941753149,0.0604600608348846
B03,Glut,0.01403935847085665,0.023819762878344503,0.0395835143405417,3.0416800496168435,7.604200056754053,16.357076417654753,10.974189412780106,16.902601833920926,42.25650417432189,137.38840323872864,72.94042889494449,0.01035324670374385,0.0258831158280372,0.04973678290843955,0.0382715351879596,0.00052643613889805,0.0013160910457372,0.0145227741450071,0.00775921344757075,0.25997186187796073,0.2599718478074162,2.144169968919913,0.9759125433988436,0.0133669031783938,0.0334172584116458,0.16301976144313804,0.08078126236796371,0.01502250693738455,0.037556268274784047,0.33300526440143585,0.1209277473390102,0.01081919297271185,0.02704798215474245,0.05823387385201155,0.0404568359478671,0.01091833614175755,0.02729584011123115,0.09019653667788236,0.047836878579995495,0.01081864675506945,0.02704661618918175,0.06179140880703925,0.0458113988861441,0.00884260330349205,0.02210650779306885,0.04224460199475285,0.0268711373209953,0.0083314264193177,0.020828565582633,0.04201571643352505,0.0268101021647453,0.0006578278815357,0.00164456970329385,0.0200251123622259,0.009491279769689949,0.0008733723629285499,0.00218343089165685,0.0541036764926927,0.012545619757213699,0.0114137483760714,0.0285343714058399,0.11060692649334665,0.0552834356203675
B04,Glut,0.012042064105694,0.0213307120349136,0.0363936728118018,3.2241703318431973,8.060425773262978,17.227603610605,11.898710625246167,18.766766059212387,46.91691472940147,155.69062359631062,88.31894429586828,0.0099641410633921,0.0249103531241416,0.0497901886701583,0.03689631447196,0.000473029911518,0.0011825747787952,0.0126726180315017,0.0095521472394466,0.2248716244494719,0.2248716056266484,2.359186043394474,1.221542421858229,0.0124208442866802,0.0310521107167005,0.1570916324853897,0.0990157946944236,0.0136873424053192,0.034218356013298,0.3631647229194641,0.1575493961572647,0.0104226914374658,0.0260567283608339,0.0577856312964612,0.0405077639041263,0.0104428156651482,0.026107038933441,0.0892596464284097,0.0502956321670572,0.0103761348873376,0.0259403362870216,0.0597238130867481,0.0469367504119873,0.0084382388740777,0.0210955962538719,0.0424963757395744,0.0267490651458501,0.0080262459814548,0.0200656149536371,0.0422217138111591,0.0266117341816425,0.0005978025515466,0.0014945063651255,0.0178937923952772,0.0110407881705644,0.0007523381408522,0.0018808453331024,0.0568975434120531,0.016790262373428,0.0108644235879182,0.0271610580384731,0.1064393073320388,0.0593804828822612
B05,Glut_TGFB,0.0323104557296496,0.0343728161241647,0.0441873880283122,2.9902952881529927,7.4757381193339825,16.564293932169676,10.422812260687351,20.813183980062604,52.032959355041385,211.9886630326509,89.03958213329315,0.0112344548106193,0.0280861370265483,0.0508621335029602,0.0371480882167816,0.000823987647891,0.002059968188405,0.0238956287503242,0.0083314254879951,0.4783042619264506,0.4783042278428971,2.724182756996048,1.1417635644033115,0.0158388651907444,0.0395971611142158,0.2101777642965316,0.0789806991815567,0.0182192716747522,0.045548178255558,0.47763791680336,0.1219958811998367,0.0120267230074299,0.0300668071608249,0.0639234475391216,0.0393941458514941,0.0120393414743494,0.0300983533204074,0.1140596099836313,0.0478661837520156,0.0119172958657145,0.0297932401299476,0.0703669786453247,0.0455634407699108,0.0091859316453337,0.0229648295789957,0.0414129868149757,0.0258793011307716,0.0085908295586705,0.021477073431015,0.0413519479334354,0.0258030053228139,0.0011052693100839,0.0027631733058889,0.0341614193713365,0.0098836507347184,0.0013798676849504,0.0034496691133598,0.0823217012480894,0.0134653131585329,0.0128328371793031,0.0320820920169353,0.1558709144592285,0.0561646446585655
B06,Glut_TGFB,0.03519392540621,0.0242984892549974,0.0246157344831663,3.7770962426438928,9.44274041056633,19.65410854667425,11.288029335439203,26.13061741925776,65.32654246129096,242.8568855114281,94.44802025333048,0.0129434652626514,0.0323586612939834,0.0550392903387546,0.0406500361859798,0.0013733124360442,0.0034332834184169,0.0378881506621837,0.0085908249020576,0.7445274780944106,0.7445274930112313,3.01892595488338,1.2578757231508408,0.0222171358764171,0.0555428378283977,0.2402380406856537,0.0871442705392837,0.0257877465337514,0.0644693672657013,0.5007095336914062,0.126344695687294,0.0142582355705925,0.0356455883309722,0.0784033200658825,0.0440608375484035,0.0144972174490148,0.03624304305371,0.1331632468888436,0.0520655629985338,0.0140535589307546,0.0351338982582092,0.0888990610837936,0.0499427802860736,0.0105134658515453,0.0262836646288633,0.0444190129637718,0.0280003044754266,0.0095674069598317,0.023918516933918,0.0442053861916065,0.0277866795659065,0.0019003323260983,0.0047508309066978,0.0418397357059981,0.0109594983670554,0.0023997469496608,0.0059993674098388,0.0915055198700275,0.0142571901661238,0.015579461120069,0.0389486514031887,0.1902800053358078,0.0595292598009109
B07,Glut_TGFB,0.0408191359994229,0.0354569021565509,0.0382895042695008,3.6513771507889032,9.12844274006784,20.10766765475273,10.858228456228971,24.09114231448621,60.227854976430535,207.74786019325256,77.7867858633399,0.0131837949156761,0.0329594872891902,0.061753261834383,0.0406004413962364,0.0011444268748164,0.0028610676527023,0.0398947149515152,0.0061341263353824,0.5998110396608258,0.5998110572863705,2.449448631806573,0.8857654271146195,0.0198825057595968,0.0497062653303146,0.2283817827701568,0.0763561427593231,0.0225833524018526,0.0564583800733089,0.4254825711250305,0.1149767264723777,0.0145358989038799,0.0363397465948062,0.0838760524473297,0.0432518051648643,0.0145799992357268,0.0364499974981377,0.1309619126642313,0.0479882017881112,0.014343480579555,0.0358587019145488,0.1031509861350059,0.0464332029223442,0.0106813153252005,0.0267032887786626,0.0473182275891304,0.0289158467203378,0.0100709544494748,0.0251773856580257,0.0469062328338623,0.028656443580985,0.0015235372996632,0.0038088431151104,0.0381428963791841,0.0082950178013138,0.0019460066281185,0.0048650165825293,0.0740095358839128,0.0100680663120619,0.0156900901347398,0.0392252244055271,0.1792019605636596,0.0539940483868122
B08,Fak_TGFB,0.0018036693498648,0.00267973361890605,0.0036622487522907,8.102990860585123,20.257476918399334,48.1159915458411,27.28627461194992,57.032403263030574,142.5810065632686,321.09645289182663,231.0990544660017,0.00833905581384895,0.020847639068961102,0.0443198289722204,0.0280766002833843,0.0003662165254354,0.00091554131358855,0.0024261847138404,0.00130464695394035,0.2488473731786126,0.2488473782897703,1.5852403661062637,0.8985859809008824,0.0103761348873376,0.02594033628702155,0.1399862691760063,0.0914778374135494,0.0113603421486914,0.02840085513889785,0.4439993947744369,0.4578774720430374,0.008940947305805101,0.02235236799326895,0.04730000804731625,0.0297282179312688,0.00871841131627165,0.0217960280412632,0.04931267842860935,0.03079987032606885,0.00870145764201875,0.021753644570708247,0.0464637205004692,0.0290569923818111,0.0075379568152129,0.018844892270863,0.0389181356877088,0.024750133976340252,0.00659189769066865,0.01647974364459505,0.03872739709913725,0.024338140152394702,0.0004410622289208,0.00110265558175615,0.00746128098155295,0.003933089265362099,0.00055726274429435,0.0013931569035784,0.0159520170697984,0.01130087336240085,0.0090485997498035,0.0226214993745088,0.0506523232907056,0.03066300507634875
B09,Fasudil_TGFB,0.01721295768044595,0.026224462214162497,0.0371228667533977,3.3173724287189543,8.293430984951556,18.548104098066688,12.134279432706535,20.515266860136762,51.28816664963961,199.22058464586735,88.24965301062912,0.01050583645701405,0.02626459114253515,0.05327305942773815,0.03888761624693865,0.0005798423662781,0.0014496073126792,0.0169375166296958,0.0076295118778943495,0.3602553253902234,0.3602553230473101,2.1833929429830645,1.008745484987474,0.0144502939656376,0.03612573444843285,0.17066453397274015,0.0856336317956447,0.0172808421775698,0.04320210404694075,0.4752422422170639,0.14156557619571686,0.01117182195358555,0.0279295546265715,0.06198091747652955,0.04098253708555685,0.0111315774785138,0.0278289434174791,0.10317200296311729,0.04871707033716415,0.0109407184645533,0.0273517966270446,0.0666628517210483,0.0463874265551567,0.00876630842685695,0.021915771067142452,0.0439307242631912,0.02716105896979565,0.0083619439974427,0.0209048595279455,0.0437476150691509,0.0269932094961404,0.0007892414600714,0.0019731035910699,0.021756130079538902,0.010186001590726301,0.0011188060208209,0.0027970149408694,0.07025903736584324,0.01292739962451705,0.01158922724425785,0.0289730671793222,0.130508504807949,0.05502975499257445
B10,Fasudil_TGFB,0.0180550772373156,0.02475655911668665,0.036800831108523446,3.331548064481467,8.328870067372918,17.592454476282,12.107148886658251,23.722781944088638,59.306954238563776,213.34225223772228,101.14728029165417,0.0107118338346481,0.0267795845866203,0.05292210355401035,0.03919661231338975,0.0006523230113088499,0.0016308072954416,0.01300831511616705,0.0080415047705173,0.37757930572350684,0.37757931367430125,2.4999195372589655,1.193228374894961,0.0155794615857303,0.0389486532658338,0.18072022497653956,0.09037155658006665,0.0184328984469175,0.04608224704861635,0.4798962324857712,0.1505760252475738,0.0113539746985033,0.0283849364448053,0.0602524549665489,0.041886475227442446,0.011432392287416951,0.02858098045087145,0.0999207929786721,0.04967091987583325,0.0112306401133537,0.0280766002833843,0.06361104920506475,0.0475127790123224,0.009300373960286351,0.023250934667885248,0.04413672164082525,0.0269626919180154,0.0085908295586705,0.021477073431015,0.0439154654741287,0.02687876671552655,0.00090686396158635,0.00226715980956485,0.0212994512239287,0.0108338280427325,0.0012170273835420999,0.0030425683382578,0.06911456231836935,0.013703998843100751,0.0119630731642246,0.02990768291056155,0.12304112222045654,0.05692759528756135
B11,Fasudil_TGFB,0.0234111206481246,0.0303841731027766,0.0430705482492509,2.81760894600302,7.044022303074598,19.95613027364016,11.142183618620038,14.2044710367918,35.51117726042867,157.6363472416997,64.03094542212784,0.0105287255719304,0.0263218134641647,0.056179903447628,0.0415388718247413,0.0006866557523608,0.0017166398465633,0.0293125808238983,0.0070954449474811,0.4083968534465326,0.4083968456535834,2.2929784276886904,1.0250508766520472,0.0152285043150186,0.038071259856224,0.1889829933643341,0.083497367799282,0.0179598685353994,0.0448996722698211,0.4688639640808105,0.1258411556482315,0.0115833984664785,0.028958495926135,0.0726091020274907,0.0442040240824488,0.011591608022867,0.0289790197533656,0.1185983698851504,0.0507727839540749,0.0114137483760714,0.0285343714058399,0.092324711382389,0.0483253225684165,0.0086671244353055,0.0216678101569414,0.0439917594194412,0.0279697868973016,0.0083619439974427,0.0209048595279455,0.0437781326472759,0.027832455933094,0.000950747571989,0.0023768687594709,0.0306203252361621,0.0097428201970926,0.0012670766817989,0.0031676915582341,0.0726885274425881,0.0117285533642321,0.0121614402160048,0.0304036010056734,0.1626611799001693,0.0567864514887332
